PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
21377,1,largeBarChart,2,3.096047,1.4492754,10
21377,2,largeBarChart,2,0.88452536,53.846157,52
21377,13,largeBarChart,2,3.6823301,62.162163,75
21377,15,largeBarChart,2,1.7369651,46.666668,50
21377,26,largeBarChart,2,2.6698513,63.636364,70
21377,33,largeBarChart,2,2.3523018,14.893617,20
21377,35,largeBarChart,2,2.04182,5.882353,10
21377,40,largeBarChart,2,3.5308754,58.441555,70
21377,43,largeBarChart,2,0.8624966,18.181818,20
21377,47,largeBarChart,2,-0.34103894,15.789473,15
21377,54,largeBarChart,2,1.1520026,42.22222,40
21377,61,largeBarChart,2,2.0906022,40.74074,45
21377,69,largeBarChart,2,1.3219278,7.5000005,10
21377,70,largeBarChart,2,2.591115,41.025642,35
21377,82,largeBarChart,2,0.13430098,43.90244,45
21377,87,largeBarChart,2,2.3589227,29.870129,35
21377,90,largeBarChart,2,1.5849625,28,25
21377,98,largeBarChart,2,1.0740002,57.894737,60
21377,129,largeBarChart,2,1.5563937,77.94118,75
21377,131,largeBarChart,2,2.7369666,66.66667,60
21377,145,largeBarChart,2,-0.6578906,94.366196,95
21377,148,largeBarChart,2,3.0170734,61.904762,70
21377,149,largeBarChart,2,1.3930091,62.62626,60
21377,156,largeBarChart,2,-1.7311656,74.69879,75
21377,167,largeBarChart,2,2.6114337,88.88889,95
21377,171,largeBarChart,2,3.3436234,34.848484,45
21377,173,largeBarChart,2,0.32192808,98.75,100
21377,174,largeBarChart,2,-0.84799254,55.555557,55
21377,177,largeBarChart,2,2.222392,14.666666,10
21377,178,largeBarChart,2,0.8521546,5.194805,7
30524,0,largeBarChart,2,-3,0,0
30524,4,largeBarChart,2,2.1520026,55.555557,60
30524,13,largeBarChart,2,-2.2779663,59.79381,60
30524,16,largeBarChart,2,1.9831271,86.04651,90
30524,28,largeBarChart,2,-3,100,100
30524,30,largeBarChart,2,0.07400031,41.05263,40
30524,31,largeBarChart,2,2.2823985,64.86486,60
30524,38,largeBarChart,2,0.8667326,16.176472,18
30524,47,largeBarChart,2,2.321928,50,55
30524,48,largeBarChart,2,1.4739316,47.22222,50
30524,53,largeBarChart,2,-0.91071504,75.53192,75
30524,54,largeBarChart,2,2.776494,48.148148,55
30524,57,largeBarChart,2,-0.18057244,19.117647,20
30524,66,largeBarChart,2,0.6214903,61.538464,60
30524,80,largeBarChart,2,2.2003658,40.40404,45
30524,85,largeBarChart,2,2.8776255,62.650604,70
30524,87,largeBarChart,2,0.2490301,76.81159,78
30524,100,largeBarChart,2,1.5685685,77.9661,75
30524,102,largeBarChart,2,1.6938953,71.76471,75
30524,105,largeBarChart,2,1.6338732,56.89655,60
30524,116,largeBarChart,2,0.7369667,58.333332,60
30524,125,largeBarChart,2,2.7554383,8.247422,15
30524,132,largeBarChart,2,2.8365018,92.85714,100
30524,136,largeBarChart,2,3.2532153,10.4651165,20
30524,147,largeBarChart,2,2.8956633,32.55814,40
30524,154,largeBarChart,2,3.2267709,60.638298,70
30524,157,largeBarChart,2,0.736965,31.666666,30
30524,166,largeBarChart,2,3.991283,24.096386,40
30524,170,largeBarChart,2,2.7946815,46.938778,40
30524,172,largeBarChart,2,4.048848,22.448978,39
30523,0,largeBarChart,2,-3,0,0
30523,4,largeBarChart,2,2.1520026,55.555557,60
30523,13,largeBarChart,2,-2.2779663,59.79381,60
30523,16,largeBarChart,2,1.9831271,86.04651,90
30523,28,largeBarChart,2,-3,100,100
30523,30,largeBarChart,2,0.07400031,41.05263,40
30523,31,largeBarChart,2,2.2823985,64.86486,60
30523,38,largeBarChart,2,0.8667326,16.176472,18
30523,47,largeBarChart,2,2.321928,50,55
30523,48,largeBarChart,2,1.4739316,47.22222,50
30523,53,largeBarChart,2,-0.91071504,75.53192,75
30523,54,largeBarChart,2,2.776494,48.148148,55
30523,57,largeBarChart,2,-0.18057244,19.117647,20
30523,66,largeBarChart,2,0.6214903,61.538464,60
30523,80,largeBarChart,2,2.2003658,40.40404,45
30523,85,largeBarChart,2,2.8776255,62.650604,70
30523,87,largeBarChart,2,0.2490301,76.81159,78
30523,100,largeBarChart,2,1.5685685,77.9661,75
30523,102,largeBarChart,2,1.6938953,71.76471,75
30523,105,largeBarChart,2,1.6338732,56.89655,60
30523,116,largeBarChart,2,0.7369667,58.333332,60
30523,125,largeBarChart,2,2.7554383,8.247422,15
30523,132,largeBarChart,2,2.8365018,92.85714,100
30523,136,largeBarChart,2,3.2532153,10.4651165,20
30523,147,largeBarChart,2,2.8956633,32.55814,40
30523,154,largeBarChart,2,3.2267709,60.638298,70
30523,157,largeBarChart,2,0.736965,31.666666,30
30523,166,largeBarChart,2,3.991283,24.096386,40
30523,170,largeBarChart,2,2.7946815,46.938778,40
30523,172,largeBarChart,2,4.048848,22.448978,39
21675,2,largeBarChart,2,1.1789688,62.26415,60
21675,9,largeBarChart,2,2.4135578,80.327866,75
21675,10,largeBarChart,2,-0.18057555,55.88235,55
21675,16,largeBarChart,2,2.254814,10.227273,15
21675,19,largeBarChart,2,-5.554468,32.97872,33
21675,26,largeBarChart,2,-1.6520759,30.681818,31
21675,30,largeBarChart,2,1.0306967,27.95699,30
21675,34,largeBarChart,2,-3,0,0
21675,47,largeBarChart,2,2.9068906,87.5,95
21675,61,largeBarChart,2,0.21759331,51.162792,50
21675,62,largeBarChart,2,3.675565,22.222223,35
21675,80,largeBarChart,2,0.42380533,53.65854,55
21675,81,largeBarChart,2,1.6765941,91.803276,95
21675,88,largeBarChart,2,1.9193813,34.782608,31
21675,90,largeBarChart,2,0.72436726,29.347824,31
21675,91,largeBarChart,2,1.5907459,46.98795,50
21675,96,largeBarChart,2,3.2032838,15.789473,25
21675,98,largeBarChart,2,2.3790736,79.79797,85
21675,100,largeBarChart,2,-1.7078221,65.30612,65
21675,108,largeBarChart,2,0.81291366,43.243244,45
21675,133,largeBarChart,2,4.171788,93.02326,75
21675,136,largeBarChart,2,2.2549553,25.773195,21
21675,140,largeBarChart,2,3.1282258,39.74359,31
21675,142,largeBarChart,2,2.1355138,60.606064,65
21675,144,largeBarChart,2,4.2628226,33.802814,53
21675,149,largeBarChart,2,4.042774,68.51852,85
21675,153,largeBarChart,2,3.5371342,32.608696,21
21675,157,largeBarChart,2,2.95156,62.26415,70
21675,161,largeBarChart,2,4.038135,28.57143,45
21675,168,largeBarChart,2,2.807355,68,75
5523,0,largeBarChart,2,3.1511638,65.11628,74
5523,15,largeBarChart,2,2.321928,65,70
5523,16,largeBarChart,2,0.4611337,23.376623,22
5523,18,largeBarChart,2,2.0740004,65.789474,70
5523,24,largeBarChart,2,2.2223916,69.333336,74
5523,34,largeBarChart,2,1.2879806,32.55814,35
5523,39,largeBarChart,2,2.409391,95.3125,90
5523,42,largeBarChart,2,-1.584968,42.666668,43
5523,62,largeBarChart,2,-0.28293276,19.178082,20
5523,65,largeBarChart,2,1.7293528,26.31579,23
5523,74,largeBarChart,2,2.6715498,87.62887,94
5523,79,largeBarChart,2,-0.81192315,54.430378,55
5523,93,largeBarChart,2,1.5334324,97.89474,95
