PartipantID,Index,Vis,VisID,Error,TruePerc,ReportPerc
21377,10,largePieChart,5,1.5145724,17.142859,20
21377,25,largePieChart,5,1.5849625,68,65
21377,27,largePieChart,5,2.4068174,69.69697,75
21377,36,largePieChart,5,-3,0,1
21377,42,largePieChart,5,2.8984287,82.45614,75
21377,49,largePieChart,5,3.7830622,66.233765,80
21377,51,largePieChart,5,3.9740047,60.714287,45
21377,68,largePieChart,5,3.4702084,63.917522,75
21377,71,largePieChart,5,1.4288427,92.30769,95
21377,76,largePieChart,5,3.940499,64.64646,80
21377,86,largePieChart,5,-1.070389,9.523809,10
21377,102,largePieChart,5,1.4111965,77.65958,75
21377,103,largePieChart,5,-0.188445,6.122449,7
21377,108,largePieChart,5,1.9593567,91.111115,95
21377,120,largePieChart,5,2.9230103,32.58427,25
21377,124,largePieChart,5,-0.5058944,50.704224,50
21377,125,largePieChart,5,0.9526929,41.935482,40
21377,126,largePieChart,5,2,20,16
21377,135,largePieChart,5,0.736965,13.333334,15
21377,137,largePieChart,5,2.5283797,44.230766,50
21377,138,largePieChart,5,3.4299877,22.222223,33
21377,139,largePieChart,5,-1.0943272,2.5316455,3
21377,150,largePieChart,5,-0.37851325,19.23077,20
21377,153,largePieChart,5,4.482393,57.64706,80
21377,165,largePieChart,5,-1.6244854,24.324326,24
21377,168,largePieChart,5,1.929611,23.809525,20
21377,169,largePieChart,5,3.9825902,19.19192,35
21377,170,largePieChart,5,4.150448,82.75862,65
21377,172,largePieChart,5,0.73697,91.66667,90
21377,176,largePieChart,5,2.8624966,27.272728,20
30524,1,largePieChart,5,0.5994625,51.515152,50
30524,17,largePieChart,5,2.321928,35,40
30524,34,largePieChart,5,0.5293696,81.4433,80
30524,36,largePieChart,5,0.70301896,11.627908,10
30524,50,largePieChart,5,1.4474586,27.272728,30
30524,52,largePieChart,5,1.9746149,20.930233,17
30524,55,largePieChart,5,3.2488644,39.506172,30
30524,56,largePieChart,5,3.1868784,64.893616,74
30524,59,largePieChart,5,2.7858753,93.10345,100
30524,65,largePieChart,5,3.8194275,94.117645,80
30524,70,largePieChart,5,2.0695415,35.802467,40
30524,72,largePieChart,5,5.814325,76.27119,20
30524,73,largePieChart,5,5.4374056,73.333336,30
30524,77,largePieChart,5,2.0324216,15.909091,20
30524,92,largePieChart,5,1.5925775,73.01588,70
30524,96,largePieChart,5,5.491853,75,30
30524,99,largePieChart,5,1.4150361,82.666664,80
30524,103,largePieChart,5,3.3677316,90.32258,80
30524,104,largePieChart,5,1.0306994,72.043015,70
30524,108,largePieChart,5,0.89566326,8.139535,10
30524,115,largePieChart,5,4.1334825,77.55102,60
30524,123,largePieChart,5,5.038135,42.857143,10
30524,141,largePieChart,5,6.2768407,13.461539,91
30524,149,largePieChart,5,2.6214886,86.15385,80
30524,150,largePieChart,5,0.83953595,34.210526,36
30524,156,largePieChart,5,0.38332883,8.695652,10
30524,159,largePieChart,5,2.5752146,4.040404,10
30524,162,largePieChart,5,2.321928,25,20
30524,174,largePieChart,5,3.2753859,39.68254,30
30524,175,largePieChart,5,3.2618072,29.591837,20
30523,1,largePieChart,5,0.5994625,51.515152,50
30523,17,largePieChart,5,2.321928,35,40
30523,34,largePieChart,5,0.5293696,81.4433,80
30523,36,largePieChart,5,0.70301896,11.627908,10
30523,50,largePieChart,5,1.4474586,27.272728,30
30523,52,largePieChart,5,1.9746149,20.930233,17
30523,55,largePieChart,5,3.2488644,39.506172,30
30523,56,largePieChart,5,3.1868784,64.893616,74
30523,59,largePieChart,5,2.7858753,93.10345,100
30523,65,largePieChart,5,3.8194275,94.117645,80
30523,70,largePieChart,5,2.0695415,35.802467,40
30523,72,largePieChart,5,5.814325,76.27119,20
30523,73,largePieChart,5,5.4374056,73.333336,30
30523,77,largePieChart,5,2.0324216,15.909091,20
30523,92,largePieChart,5,1.5925775,73.01588,70
30523,96,largePieChart,5,5.491853,75,30
30523,99,largePieChart,5,1.4150361,82.666664,80
30523,103,largePieChart,5,3.3677316,90.32258,80
30523,104,largePieChart,5,1.0306994,72.043015,70
30523,108,largePieChart,5,0.89566326,8.139535,10
30523,115,largePieChart,5,4.1334825,77.55102,60
30523,123,largePieChart,5,5.038135,42.857143,10
30523,141,largePieChart,5,6.2768407,13.461539,91
30523,149,largePieChart,5,2.6214886,86.15385,80
30523,150,largePieChart,5,0.83953595,34.210526,36
30523,156,largePieChart,5,0.38332883,8.695652,10
30523,159,largePieChart,5,2.5752146,4.040404,10
30523,162,largePieChart,5,2.321928,25,20
30523,174,largePieChart,5,3.2753859,39.68254,30
30523,175,largePieChart,5,3.2618072,29.591837,20
21675,4,largePieChart,5,2.321928,20,25
21675,14,largePieChart,5,-0.84799254,94.44444,95
21675,15,largePieChart,5,1.2223928,14.666666,17
21675,17,largePieChart,5,2.6583562,68.68687,75
21675,31,largePieChart,5,4.254814,34.090908,15
21675,41,largePieChart,5,2.1113598,54.320984,50
21675,43,largePieChart,5,3.0588942,33.333336,25
21675,49,largePieChart,5,3.0588942,33.333336,25
21675,56,largePieChart,5,-0.22826874,15.853659,15
21675,58,largePieChart,5,2.9368792,75.34247,83
21675,59,largePieChart,5,1.2515379,47.61905,50
21675,63,largePieChart,5,1.8673632,98.64865,95
21675,64,largePieChart,5,0.06953893,16.049381,15
21675,65,largePieChart,5,0.40254995,56.321842,55
21675,66,largePieChart,5,2.8015378,61.971832,55
21675,67,largePieChart,5,2.4952598,60.638298,55
21675,68,largePieChart,5,1.1622715,4.7619047,7
21675,69,largePieChart,5,-1.222385,71.42857,71
21675,73,largePieChart,5,3.498736,55.6962,67
21675,82,largePieChart,5,-3.6245532,81.08108,81
21675,94,largePieChart,5,3.2968366,94.82758,85
21675,97,largePieChart,5,3.6438563,87.5,75
21675,101,largePieChart,5,3.429375,74.2268,85
21675,105,largePieChart,5,2.8154147,98.039215,91
21675,106,largePieChart,5,1.6765941,91.803276,95
21675,110,largePieChart,5,2.520474,55.737705,50
21675,111,largePieChart,5,1.4525118,14.736841,12
21675,118,largePieChart,5,2.380423,36.206894,31
21675,124,largePieChart,5,3.4073195,74.39024,85
21675,132,largePieChart,5,-2.10433,80.23256,80
5523,17,largePieChart,5,2.9919024,91.04478,99
5523,30,largePieChart,5,-0.6347156,18.644068,18
5523,33,largePieChart,5,2.6470227,63.736267,70
5523,43,largePieChart,5,1.9699416,63.917522,60
5523,45,largePieChart,5,3.8804183,77.27273,92
5523,66,largePieChart,5,0.5777681,98.50746,100
5523,89,largePieChart,5,3.084889,51.515152,60
5523,96,largePieChart,5,0.41503614,16.666668,18
5523,104,largePieChart,5,-0.6605153,68.36735,69
5523,105,largePieChart,5,-4.5847864,98.95833,99
5523,107,largePieChart,5,-2.5360606,55.172413,55
5523,113,largePieChart,5,2.8231223,51.923077,59
5523,119,largePieChart,5,3.0050707,61.971832,70
5523,120,largePieChart,5,-0.22239472,17.142859,18
5523,128,largePieChart,5,-0.60265964,53.65854,53
5523,129,largePieChart,5,0.87126756,73.17073,75
5523,132,largePieChart,5,1.0518409,82.92683,85
5523,136,largePieChart,5,3.311827,79.06977,89
5523,142,largePieChart,5,2.3667822,38.157894,33
5523,149,largePieChart,5,2.1413562,29.411766,25
5523,150,largePieChart,5,2.8149688,62.96296,70
5523,152,largePieChart,5,3.5849626,48,60
5523,163,largePieChart,5,2.4444122,35.44304,30
5523,164,largePieChart,5,0.36773467,61.290325,60
5523,167,largePieChart,5,2.6139908,54.87805,61
5523,168,largePieChart,5,-0.48542464,85.71429,85
5523,172,largePieChart,5,3.6734004,32.75862,20
5523,173,largePieChart,5,3.5629363,81.818184,70
5523,174,largePieChart,5,1.5639011,13.043478,16
5523,176,largePieChart,5,1.2988446,17.460318,15
27270,1,largePieChart,5,2.321928,100,95
27270,2,largePieChart,5,2.4531724,9.523809,15
27270,8,largePieChart,5,1.7369651,16.666668,20
27270,9,largePieChart,5,2.5908146,39.024387,33
27270,13,largePieChart,5,-3,0,0
27270,19,largePieChart,5,3.6069047,67.81609,80
27270,22,largePieChart,5,1.9434161,46.153847,50
27270,25,largePieChart,5,1.6239564,21.917809,25
27270,31,largePieChart,5,2.209034,5.376344,10
27270,35,largePieChart,5,1.5353323,97.10145,100
27270,45,largePieChart,5,4.0588937,58.333332,75
27270,53,largePieChart,5,3.1844249,50.90909,60
